model,price,launch,overall,relaxing,party,movie
Bowers & Wilkins Formation Wedge,$899,Jun 2019,160,158,155,134
Harman Kardon Citation 200,$349,Sep 2020,147,136,150,119
Sonos Five,$499,Jun 2021,147,141,148,123
Bowers & Wilkins Zeppelin,$799,Oct 2021,146,148,137,117
Bang & Olufsen Beosound Balance,$2250,Mar 2020,145,135,141,110
Google Home Max,$399,Oct 2017,145,137,140,126
Cabasse The Pearl Akoya,$1490,Oct 2019,144,145,135,111
Marshall Stanmore II,$349,Mar 2019,144,141,135,118
Teufel BOOMSTER,$369,Nov 2021,139,134,128,106
Klipsch The Three II,$479,Apr 2019,137,140,120,106
Naim Mu-so 2nd Generation,$1690,Jun 2019,137,136,139,114
Audio Pro C10 MKII,$493,Apr 2021,136,132,126,115
JBL Xtreme 3,$300,Nov 2020,136,126,125,112
Yamaha MusicCast 50,$499,Apr 2018,136,130,135,115
LG XBoom RP4,$399,Sep 2021,135,120,138,98
Devialet Phantom  II 98 dB Opéra De Paris,$1590,Jan 2020,133,128,137,103
Bose Home Speaker 500,$450,Aug 2018,130,127,109,110
Sonos One,$199,Oct 2017,129,132,110,116
Denon Home 250,$499,Jan 2020,128,116,136,113
JBL Charge 5,$179,Jun 2021,127,120,115,99
Huawei Sound X,$349,Jul 2020,126,122,122,96
Bose Soundlink Flex,$149,Oct 2021,125,124,101,105
Amazon Echo Studio,$199,Sep 2019,124,116,137,91
Bang & Olufsen Beosound Level,$1549,Feb 2022,124,135,93,101
Bluesound PULSE MINI 2i,$499,Oct 2018,124,124,119,96
Sony SRS-XB43,$229,Jul 2020,122,120,110,102
Harman Kardon AURA STUDIO 3,$299,Jul 2020,120,112,130,89
Astell&Kern Acro BE100,$400,Nov 2021,115,113,112,77
Sonos Roam,$169,Apr 2021,114,120,87,100
Apple HomePod,$329,Feb 2018,113,107,109,96
Sony SRS-XB33,$149,May 2020,113,115,100,98
Google Nest Audio,$100,Sep 2020,112,116,96,87
Amazon Echo (4th Gen),$100,Oct 2020,109,112,101,87
Xiaomi Mi Smart Speaker HD,$50,Apr 2021,109,105,104,61
Ultimate Ears Megaboom 3,$199,Mar 2019,108,113,77,92
Bose SoundLink Revolve II,$199,Jan 2021,107,107,77,93
Dali Katch,$499,Aug 2016,105,106,95,68
LG XBoom Go PL 7,$200,Jun 2020,105,104,102,83
Xiaomi Mi Smart Speaker Battery Edition,$80,Nov 2020,104,104,91,75
Huawei Sound Joy,$129,Dec 2021,103,108,80,88
Belkin Soundform Elite,$299,May 2020,101,99,97,91
Apple HomePod mini,$100,Feb 2018,98,102,83,60
Yandex Station,$139,May 2018,98,97,108,73
TMall Genie X5,$40,Jul 2017,92,93,93,58
Baidu Xiaodu Smart Speaker Ultimate Edition,$20,May 2020,48,64,42,23
